date,code,name,score,rank,penalty,avail_max,ind_ma_up,ind_macd_bull,ind_obv_up,rsi,거래대금_earned,거래대금_max,거래대금_avail,실적_earned,실적_max,실적_avail,밸류_earned,밸류_max,밸류_avail,수급_earned,수급_max,수급_avail,신고가_earned,신고가_max,신고가_avail,거래량증가_earned,거래량증가_max,거래량증가_avail,차트_earned,차트_max,차트_avail,누적등장_earned,누적등장_max,누적등장_avail,ret_5d,ret_10d
2026-06-24,126640,화신정공,48.2,30,0.0,85,1,0,1,58.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-13.13,-14.41
2026-06-24,009150,삼성전기,47.1,31,0.0,85,1,0,1,58.2,15,15,1,8.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-1.93,-19.35
2026-06-24,009155,삼성전기우,47.1,32,0.0,85,1,1,1,63.1,12,15,1,8.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-15.01,-29.9
2026-06-24,004310,현대약품,47.1,33,0.0,85,0,1,1,53.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-32.55,-35.89
2026-06-24,204270,제이앤티씨,47.1,34,0.0,85,0,1,1,61.0,4,15,1,13.0,20,1,10,10,1,0,15,0,7,10,1,0,10,1,6.0,10,1,0,10,1,-29.67,-20.67
2026-06-24,419050,삼기에너지솔루션즈,46.9,35,0.0,85,0,1,1,51.1,0,15,1,13.9,20,1,10,10,1,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,33.88,16.12
2026-06-24,089030,테크윙,46.7,36,0.0,75,1,0,1,41.8,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-4.91,-12.02
2026-06-24,032830,삼성생명,46.1,37,0.0,85,1,0,1,57.0,15,15,1,7.2,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-14.43,-21.36
2026-06-24,298040,효성중공업,45.5,38,0.0,85,1,0,1,43.0,12,15,1,9.7,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,2.36,-12.79
2026-06-24,141080,리가켐바이오,45.3,39,0.0,75,0,1,1,52.4,8,15,1,16.0,20,1,0,10,0,0,15,0,0,10,1,4,10,1,6.0,10,1,0,10,1,-6.36,-21.17
2026-06-24,043260,성호전자,44.7,40,0.0,85,0,0,0,37.3,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-27.12,-26.29
2026-06-24,010060,OCI홀딩스,44.7,41,0.0,85,0,0,0,35.5,8,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,3.3,-6.7
2026-06-24,039030,이오테크닉스,44.1,42,0.0,85,1,0,1,49.8,8,15,1,12.5,20,1,10,10,1,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-20.97,-22.2
2026-06-24,010950,S-Oil,43.5,43,0.0,85,0,0,1,46.6,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,1.77,23.11
2026-06-24,218410,RFHIC,43.5,44,0.0,85,0,0,1,36.5,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-17.47,-23.49
2026-06-24,036570,NC,43.5,45,0.0,85,0,0,1,41.7,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,8.83,2.05
2026-06-24,263750,펄어비스,43.5,46,0.0,85,0,1,0,24.9,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,3.31,2.07
2026-06-24,290690,소룩스,42.7,47,0.0,75,1,1,1,64.0,8,15,1,0.0,20,1,0,10,0,0,15,0,4,10,1,10,10,1,10.0,10,1,0,10,1,-15.05,-12.11
2026-06-24,222800,심텍,42.7,48,0.0,75,1,0,0,50.8,8,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,4.0,10,1,0,10,1,5.95,4.25
2026-06-24,012450,한화에어로스페이스,42.6,49,0.0,85,0,1,1,43.1,12,15,1,8.2,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,2.01,-11.61
2026-06-24,025980,아난티,42.4,50,0.0,85,0,1,1,29.4,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,-5.0,-5.48
2026-06-24,100660,서암기계공업,41.5,51,0.0,85,0,1,1,64.2,0,15,1,5.3,20,1,10,10,1,0,15,0,4,10,1,10,10,1,6.0,10,1,0,10,1,-26.36,-26.7
2026-06-24,330860,네패스아크,41.3,52,0.0,75,1,0,1,46.6,4,15,1,20.0,20,1,0,10,0,0,15,0,0,10,1,0,10,1,7.0,10,1,0,10,1,-23.66,-5.02
2026-06-24,037710,광주신세계,41.2,53,0.0,85,0,1,1,70.5,4,15,1,4.0,20,1,1,10,1,0,15,0,10,10,1,10,10,1,6.0,10,1,0,10,1,-7.11,16.08
2026-06-24,047040,대우건설,40.8,54,0.0,85,0,0,1,38.8,8,15,1,13.7,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-5.8,-10.42
2026-06-24,003490,대한항공,40.4,55,0.0,75,1,0,1,53.0,8,15,1,11.3,20,1,0,10,0,0,15,0,4,10,1,0,10,1,7.0,10,1,0,10,1,4.39,-2.19
2026-06-24,352820,하이브,40.0,56,0.0,85,0,0,0,34.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,10.11,13.72
2026-06-24,131970,두산테스나,40.0,57,0.0,85,0,0,0,39.9,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-15.55,-16.47
2026-06-24,096770,SK이노베이션,40.0,58,0.0,85,0,0,0,35.8,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-4.37,4.57
2026-06-24,098460,고영,40.0,59,0.0,85,0,0,0,42.9,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-4.51,-7.25
2026-06-24,267270,HD건설기계,40.0,60,0.0,85,0,0,0,29.6,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,2.18,9.4
2026-06-24,356860,티엘비,40.0,61,0.0,85,0,0,0,36.3,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-11.92,-3.59
2026-06-24,008770,호텔신라,40.0,62,0.0,85,0,0,0,34.4,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,5.01,5.22
2026-06-24,457190,이수스페셜티케미컬,40.0,63,0.0,85,0,0,0,31.5,4,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-7.34,-12.6
2026-06-24,067310,하나마이크론,39.7,64,0.0,75,1,1,1,51.9,8,15,1,11.8,20,1,0,10,0,0,15,0,0,10,1,0,10,1,10.0,10,1,0,10,1,-11.92,-17.62
2026-06-24,356680,엑스게이트,39.4,65,0.0,85,0,1,1,59.5,12,15,1,4.5,20,1,1,10,1,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,-38.03,-45.19
2026-06-24,458870,씨어스,39.1,66,0.0,75,0,1,1,50.7,4,15,1,19.3,20,1,0,10,0,0,15,0,0,10,1,0,10,1,6.0,10,1,0,10,1,12.68,6.19
2026-06-24,006910,보성파워텍,38.8,67,0.0,85,0,0,1,33.0,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,2.06,-3.16
2026-06-24,126340,비나텍,38.8,68,0.0,85,0,0,1,37.1,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-11.16,-25.83
2026-06-24,044490,태웅,38.8,69,0.0,85,0,1,0,37.2,0,15,1,20.0,20,1,10,10,1,0,15,0,0,10,1,0,10,1,3.0,10,1,0,10,1,-2.98,-2.64
2026-06-24,036930,주성엔지니어링,38.6,70,0.0,85,0,0,0,46.8,12,15,1,10.8,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,24.73,5.21
2026-06-24,001790,대한제당,38.6,71,0.0,85,0,1,1,49.5,0,15,1,6.8,20,1,10,10,1,0,15,0,0,10,1,10,10,1,6.0,10,1,0,10,1,-5.0,14.8
2026-06-24,011070,LG이노텍,38.5,72,0.0,85,0,0,0,45.4,15,15,1,7.7,20,1,10,10,1,0,15,0,0,10,1,0,10,1,0.0,10,1,0,10,1,-8.67,-22.47
